Name	Rating	Year	Fed	Rank
Atanas Kolev	2510	1993	BUL	264	
Nikolay..A Legky	2510	1993	UKR	265	
Jordi Magem.Badals	2510	1993	ESP	266	
Evgeni Ragozin	2510	1993	RUS	267	
Gad Rechlis	2510	1993	ISR	268	
Dragoljub Velimirovic	2510	1993	YUG	269	
Yuri Yakovich	2510	1993	RUS	270	
Gennadi Zaichik	2510	1993	GEO	271	
Yaacov Zilberman	2510	1993	ISR	272	
Christian Bauer	2505	1993	FRA	273	
Klaus Bischoff	2505	1993	GER	274	
Pavel Blatny	2505	1993	CZE	275	
Evgenij Ermenkov	2505	1993	BUL	276	
Alexander Fominyh	2505	1993	RUS	277	
Zenon Franco.Ocampo	2505	1993	ESP	278	
Ronen Har-Zvi	2505	1993	ISR	279	
Gilberto Hernandez	2505	1993	MEX	280	
Alexey Ivanov	2505	1993	RUS	281	
Borislav Ivkov	2505	1993	YUG	282	
Aleksandr Karpatchev	2505	1993	RUS	283	
Nino Kirov	2505	1993	BUL	284	
Anthony.C Kosten	2505	1993	ENG	285	
Bachar Kouatly	2505	1993	FRA	286	
Alexandre Lesiege	2505	1993	CAN	287	
Felix Levin	2505	1993	UKR	288	
Jinrong Liang	2505	1993	CHN	289	
Valery..A Loginov	2505	1993	RUS	290	
Evgeni Maljutin	2505	1993	RUS	291	
Miroslav Markovic	2505	1993	YUG	292	
Nikola Mitkov	2505	1993	FRM	293	
Friso Nijboer	2505	1993	NED	294	
Kenneth S Rogoff	2505	1993	USA	295	
Alexander Ryskin	2505	1993	BLR	296	
Miguel.A Quinteros	2505	1993	ARG	297	
Hugo Spangenberg	2505	1993	ARG	298	
Markus Stangl	2505	1993	GER	299	
Leonid Bass	2500	1993	USA	300	
Vladimir Chuchelov	2500	1993	BEL	301	
Srdjan Cvetkovic	2500	1993	YUG	302	
Igor Efimov	2500	1993	ITA	303	
Christian Gabriel	2500	1993	GER	304	
Joseph.G Gallagher	2500	1993	SUI	305	
Sergey Ionov	2500	1993	RUS	306	
Sergey Ivanov	2500	1993	RUS	307	
Darryl.K Johansen	2500	1993	AUS	308	
Lars Karlsson	2500	1993	SWE	309	
Daniel.J King	2500	1993	ENG	310	
Viktor Kuporosov	2500	1993	RUS	311	
Darius Ruzele	2500	1993	LTU	312	
Miron..N Sher	2500	1993	RUS	313	
Jan Smejkal	2500	1993	CZE	314	
Michael F. Stean	2500	1993	ENG	315	
Mark..E Taimanov	2500	1993	RUS	316	
Tibor Tolnai	2500	1993	HUN	317	
Wolfgang Uhlmann	2500	1993	GER	318	
Milan Vukic	2500	1993	YUG	319	
Rongguang Ye	2500	1993	CHN	320	
Manuel Apicella	2495	1993	FRA	321	
Valery Beim	2495	1993	ISR	322	
Slim Bouaziz	2495	1993	TUN	323	
Mikhail Braude	2495	1993	USA	324	
Stuart Conquest	2495	1993	ENG	325	
Anatoly Dozorets	2495	1993	USA	326	
Mihail Golubev	2495	1993	UKR	327	
Efstratios Grivas	2495	1993	GRE	328	
Hans-Ulrich Gruenberg	2495	1993	GER	329	
Dmitry Gurevich	2495	1993	USA	330	
Stefan Kindermann	2495	1993	GER	331	
Vladislav Nevednichy	2495	1993	ROM	332	
Georgi Orlov	2495	1993	USA	333	
Oscar Panno	2495	1993	ARG	334	
N. Peregudov	2495	1993	RUS	335	
Drazen Sermek	2495	1993	SLO	336	
Andrei Shchekachev	2495	1993	RUS	337	
Hannes Stefansson	2495	1993	ISL	338	
Evgeni Vasiukov	2495	1993	RUS	339	
Wiliam G Addison	2490	1993	USA	340	
Utut Adianto	2490	1993	INA	341	
Zoltan Almasi	2490	1993	HUN	342	
Walter Arencibia	2490	1993	CUB	343	
Orest..N Averkin	2490	1993	RUS	344	
