Name	Rating	Year	Rank	Fed
S. Sokolov	2435	1978	USR	266	
E. Stoliar	2435	1978	USR	267	
L. Szell	2435	1978	HUN	268	
M. Todorcevic	2435	1978	YUG	269	
Trabattoni	2435	1978	ITA	270	
Vanger	2435	1978	NED	271	
J.L. Vilela	2435	1978	CUB	272	
J. Augustin	2430	1978	CSR	273	
R. Bogdanovic	2430	1978	YUG	274	
E. Bukhman	2430	1978	USR	275	
Dragan Ciric	2430	1978	YUG	276	
R. Cosulich	2430	1978	ITA	277	
E. Eliskases	2430	1978	ARG	278	
Y. Estrin	2430	1978	USR	279	
J. Garcia Padron	2430	1978	ARG	280	
J. Grefe	2430	1978	USA	281	
Gutop	2430	1978	USR	282	
E. Haag	2430	1978	HUN	283	
L. Lengyel	2430	1978	HUN	284	
S.H. Lim	2430	1978	SIN	285	
J.A. Peters	2430	1978	USA	286	
J. Pinter	2430	1978	HUN	287	
A. Planinc	2430	1978	YUG	288	
E. Poulsson	2430	1978	NOR	289	
K. Regan	2430	1978	USA	290	
K. Robatsch	2430	1978	AUT	291	
J. Rubinetti	2430	1978	ARG	292	
A.F. Saidy	2430	1978	USA	293	
L.-A. Schneider	2430	1978	SWE	294	
M. Suba	2430	1978	ROM	295	
K. Sznapik	2430	1978	POL	296	
P. Velikov	2430	1978	BUL	297	
B.A. Zlotnik	2430	1978	USR	298	
J. Barle	2425	1978	YUG	299	
A. Bisguier	2425	1978	USA	300	
O. Castro	2425	1978	COL	301	
A.V. Cherepkov	2425	1978	USR	302	
R. Debarnot	2425	1978	ARG	303	
A. Dueckstein	2425	1978	AUT	304	
N. Gaprindashvili	2425	1978	USR	305	
A. Haik	2425	1978	FRA	306	
M. Hermann	2425	1978	FRG	307	
H. Karner	2425	1978	USR	308	
Meddleton	2425	1978	USA	309	
Mikadze	2425	1978	USR	310	
D. Minic	2425	1978	YUG	311	
E. Mnatsakanian	2425	1978	USR	312	
I. Nemet	2425	1978	YUG	313	
R. Nicevski	2425	1978	YUG	314	
A. Ornstein	2425	1978	SWE	315	
Poutiainen	2425	1978	FIN	316	
Radashkovich	2425	1978	ISR	317	
Reshko	2425	1978	USR	318	
M.A. Rohde	2425	1978	USA	319	
Shashin	2425	1978	USR	320	
Soos	2425	1978	FRG	321	
S. Terzic	2425	1978	FRG	322	
V.S. Zheliandinov	2425	1978	USR	323	
G. Barcza	2420	1978	HUN	324	
V.K. Doroshkievich	2420	1978	USR	325	
Karoly Honfi	2420	1978	HUN	326	
M. Ilijc	2420	1978	YUG	327	
R.M. Jamieson	2420	1978	AUS	328	
Iz. Jelen	2420	1978	YUG	329	
K. Kaiszauri	2420	1978	SWE	330	
Kaldor	2420	1978	ISR	331	
Z. Krnic	2420	1978	YUG	332	
J. Lechtynsky	2420	1978	CSR	333	
H. Liebert	2420	1978	DDR	334	
R. Maric	2420	1978	YUG	335	
Mechitov	2420	1978	USR	336	
H. Messing	2420	1978	YUG	337	
Y. Murey	2420	1978	ISR	338	
H. Olafsson	2420	1978	ISL	339	
P. Ostojic	2420	1978	YUG	340	
Partos	2420	1978	SUI	341	
Penrose	2420	1978	ENG	342	
V. Peresypkin	2420	1978	USR	343	
Pomar	2420	1978	ESP	344	
N. Popov	2420	1978	USR	345	
