1st January 1988 FIDE Rating List

Name                                 Fed  Rtng 
Butt,D.                              PAK  2345
Butt,R.                              PAK  2240
Butt,S.                              PAK  2335
Buturin,V.                           USR  2375
Buxade Roca,G.                       ESP  2270
Buza,A.                              ROM  2230
Buzbuchi,I.                          FRG  2325
Buzhinlham,P.                        MGL  2025
Bwanika,D.                           UGA  2205
Bykhovsky,Av.                        USR  2395
Byrka,M.                             POL  2270
Byrne,R.                             USA  2490
Byway,P.                             ENG  2315
Cabarkapa,M.                         YUG  2285
Cabarkapa,S.                         YUG  2280
Cabrera,G.                           CUB  2230
Cabrera,R.                           CUB  2230
Cabrilo,G.                           YUG  2505
Cacic,S.                             YUG  2265
Caels,V.                             BEL  2005
Caessens,R.                          NED  2260
Caiafas,T.                           NGR  2205
Calinescu,G.                         ROM  2280
Calinescu,V.                         ROM  2065
Callergard,R.                        SWE  2340
Calogridis,M.                        USA  2245
Calvo Minguez,R.                     ESP  2380
Camacho,G.                           CUB  2210
Camara,H.                            BRA  2320
Camaton                              ECU  2305
Cameron,A.                           NED  2030
Campora,D.H.                         ARG  2540
Campos De Ocampo,A.                  MEX  2020
Campos Lopez,M.                      MEX  2330
Campos Moreno,J.                     CHI  2415
Campos,Al.                           MEX  2335
Campos,Luis F.                       MEX  2215
Campos,Luis                          ARG  2290
Canda,D.                             NCA  2375
Candea,Gh.                           ROM  2300
Candea,I.                            ROM  2080
Canela,T.                            ESP  2165
Capelan,G.                           FRG  2385
Capo,J.                              CHI  2300
Capo,O.                              CHI  2240
Caposciutti,M.                       ITA  2275
Caravan,M.                           ROM  2115
Carbajal,A.L.                        CUB  2025
Cardon,H.                            NED  2360
Cardoso,R. (F)                       BRA  2045
Carleson                             SWE  2355
Carlhammar,M.                        SWE  2235
Carlier,B.                           NED  2410
Carlson,M.                           SWE  2310
Carmel,E.                            ISR  2320
Carmona,J.L.                         CHI  2205
Carr,N.L.                            ENG  2310
Carreras,F.                          ESP  2275
Carrillo,A.                          MEX  2240
Carrion,M.                           DOM  2220
Cartagena,O.                         PHI  2280
Carton,P.                            IRL  2240
Caruhana,M.                          MNC  2205
Carvalho,H.                          BRA  2255
Cary,F.                              POR  2265
Casa,A.                              FRA  2220
Casafus,R.                           ARG  2370
Casagrande,H.                        AUT  2325
Casas,F.                             ARG  2240
Casper,T.                            DDR  2420
Castagna,R.                          SUI  2265
Castagnetta,G.                       ITA  2295
Castaneda,A.                         MEX  2240
Castaneda,B.                         MEX  2240
Castillo,J.                          NCA  2295
Castro,A.D.                          BRA  2390
Castro,O.                            COL  2320
Catalan,T.                           SYR  2325
Cativilli,G.                         ARG  2290
Cebalo,M.                            YUG  2515
Cecconi,G.A.                         ITA  2300
Cecilia Ortiz,J.L.                   ESP  2270
Cejic,D.                             YUG  2170
Cejkova,M.                           CSR  2090
Ceko,J.                              YUG  2230
Cekro,E.                             YUG  2435
Centgraf,J.                          HUN  2245
