Rank	Name	Rating	Year
82	Paulo Duarte	2455	1944
83	Jaromír Florián	2453	1944
84	Juan Iliesco	2448	1944
85	Josef Dobiá	2443	1944
86	Abram Zamikhovsky	2434	1944
87	Amos Pokorný	2434	1944
88	Frantiek Prokop	2434	1944
89	Virgilio Fenoglio	2430	1944
90	Arturo Liebstein	2429	1944
91	Jirí Podgorný	2428	1944
92	Miloslav Foltys	2412	1944
93	Vlastimil Stulik	2412	1944
94	Fedor Dus-Chotimirsky	2405	1944
95	César Corte	2404	1944
96	Max Dietze	2395	1944
97	Vitaly Sherbakov	2390	1944
98	X. Vasicek	2387	1944
99	Peter Ivanov	2365	1944
100	Josef Holas	2361	1944
1	Mikhail Botvinnik	2813	1945
2	Alexander Alekhine	2797	1945
3	Miguel Najdorf	2761	1945
4	Paul Keres	2754	1945
5	Vassily Smyslov	2737	1945
6	Gideon Ståhlberg	2730	1945
7	Vladimir Makogonov	2714	1945
8	Isaak Boleslavsky	2692	1945
9	Salo Flohr	2677	1945
10	Alexander Tolush	2672	1945
11	Paul Schmidt	2665	1945
12	Efim Bogoljubow	2663	1945
13	Alexander Kotov	2662	1945
14	Herman Pilnik	2661	1945
15	Vladas Mikenas	2657	1945
16	Ilia Kan	2648	1945
17	Julio Bolbochán	2647	1945
18	Pablo Michel	2640	1945
19	Jan Foltys	2640	1945
20	Miroslav Katetov	2639	1945
21	Andor Lilienthal	2637	1945
22	Alexey Sokolsky	2636	1945
23	Frantiek Zíta	2625	1945
24	Gavriil Veresov	2623	1945
25	Alexander Konstantinopolsky	2619	1945
26	Jorge Pelikán	2610	1945
27	Héctor Rossetto	2610	1945
28	Georgy Lisitsin	2609	1945
29	Viacheslav Ragozin	2595	1945
30	Abram Khavin	2593	1945
31	Carlos Guimard	2593	1945
32	Gösta Stoltz	2586	1945
33	Evgeny Zagoriansky	2580	1945
34	Jácobo Bolbochán	2577	1945
35	Carlos Maderna	2571	1945
36	Jaroslav ajtar	2570	1945
37	David Bronstein	2566	1945
38	Folke Ekström	2560	1945
39	Vladimir Alatortsev	2556	1945
40	Cenek Kottnauer	2555	1945
41	Karel Opocenský	2554	1945
42	Yury Averbakh	2552	1945
43	Ludek Pachmann	2545	1945
44	Josef Lokvenc	2542	1945
45	Karel Urbanec	2540	1945
46	Friedrich Sämisch	2539	1945
47	Josef Louma	2533	1945
48	Karel Hromádka	2532	1945
49	Moshe Czerniak	2527	1945
50	Grigory Ravinsky	2524	1945
51	Bedrich Thelen	2518	1945
52	Georg Kieninger	2506	1945
53	Carl Carls	2501	1945
54	Jaromír Florián	2495	1945
55	Marcos Luckis	2494	1945
56	Peter Romanovsky	2492	1945
57	Milan Bartoek	2488	1945
58	Oldrich Novotny	2487	1945
59	Karel Prucha	2483	1945
60	Romeo García Vera	2480	1945
61	Renato Sanguinetti	2480	1945
62	Rodrigo Flores Alvarez	2480	1945
63	Augustin Tikovský	2480	1945
64	Jirí Fichtl	2479	1945
65	Amos Pokorný	2467	1945
66	Josef Dobiá	2467	1945
67	Juan Iliesco	2461	1945
68	Mikhail Yudovich	2458	1945
69	Guillermo Puiggrós	2456	1945
70	Virgilio Fenoglio	2451	1945
71	Julio Lynch	2446	1945
72	Cayetano Rebizzo	2446	1945
73	Enrique Reed Valenzuela	2443	1945
74	Fedor Dus-Chotimirsky	2438	1945
75	Jirí Podgorný	2433	1945
76	Vlastimil Stulik	2429	1945
77	Miloslav Foltys	2427	1945
78	L. Garcia Balado	2413	1945
79	Arturo Liebstein	2412	1945
80	Max Dietze	2410	1945
81	Benito Villegas	2388	1945
82	Sonja Graf-Stevenson	2384	1945
83	X. Vasicek	2383	1945
84	Peter Dubinin	2372	1945
85	K1. Petrik	2362	1945
86	Josef Holas	2362	1945
87	Jindrich Kubánek	2345	1945
88	Ruena Suchá	2298	1945
1	Mikhail Botvinnik	2883	1946
2	Paul Keres	2768	1946
3	Alexander Alekhine	2758	1946
4	Miguel Najdorf	2751	1946
5	Vassily Smyslov	2751	1946
6	Isaak Boleslavsky	2746	1946
7	Vladimir Makogonov	2731	1946
8	Gideon Ståhlberg	2716	1946
9	Alexander Kotov	2689	1946
10	Saviely Tartakower	2688	1946
11	Samuel Reshevsky	2686	1946
12	Salo Flohr	2676	1946
13	David Bronstein	2673	1946
14	Reuben Fine	2673	1946
15	Vladas Mikenas	2669	1946
16	Viacheslav Ragozin	2666	1946
17	Herman Pilnik	2665	1946
18	Pablo Michel	2664	1946
19	Alexander Konstantinopolsky	2661	1946
20	Andor Lilienthal	2650	1946
21	Carlos Guimard	2639	1946
22	Alexander Tolush	2637	1946
23	Iosif Rudakovsky	2636	1946
24	Folke Ekström	2633	1946
25	Al Horowitz	2633	1946
26	Alexey Sokolsky	2633	1946
27	Gavriil Veresov	2628	1946
28	Igor Bondarevsky	2626	1946
29	Jorge Pelikán	2620	1946
30	Vitaly Chekhover	2618	1946
31	Georgy Lisitsin	2616	1946
32	Svetozar Gligoric	2614	1946
33	Héctor Rossetto	2608	1946
34	Borislav Milic	2607	1946
35	Julio Bolbochán	2604	1946
36	Abram Khavin	2603	1946
37	Ilia Kan	2601	1946
38	Emil Richter	2598	1946
39	Frantiek Zíta	2598	1946
40	Vladimir Simagin	2596	1946
41	Peter Romanovsky	2596	1946
42	Jácobo Bolbochán	2596	1946
43	Evgeny Zagoriansky	2595	1946
44	Vladimir Alatortsev	2594	1946
45	Carlos Maderna	2591	1946
46	Vasily Panov	2590	1946
47	Ludek Pachmann	2587	1946
48	Vasilje Tomovic	2583	1946
49	Herman Steiner	2580	1946
50	Aleksandrs Koblencs	2567	1946
51	Isaac Kashdan	2564	1946
52	Arnold Denker	2563	1946
53	Mariano Castillo Larenas	2562	1946
54	Moshe Czerniak	2562	1946
55	Jaroslav ajtar	2558	1946
56	Weaver Adams	2550	1946
57	Jose Maria Cristia	2549	1946
58	Braslav Rabar	2546	1946
59	Karel Opocenský	2546	1946
60	Abram Poliak	2546	1946
61	Anatoly Ufimtsev	2543	1946
62	Boris Ratner	2532	1946
63	Grigory Ravinsky	2530	1946
64	Albert Pinkus	2530	1946
65	Lev Aronin	2525	1946
66	Marcos Luckis	2525	1946
67	A. Budo	2524	1946
68	Milan Jr Vidmar	2524	1946
69	Max Euwe	2524	1946
70	Anton Preinfalk	2521	1946
71	Walter Cruz	2521	1946
72	José Araiza Munoz	2517	1946
73	Cenek Kottnauer	2510	1946
74	Lodewijk Prins	2500	1946
75	Carlos Hounié Fleurquin	2497	1946
76	Karel Hromádka	2497	1946
77	James Aitken	2495	1946
78	Bedrich Thelen	2491	1946
79	German Fridstein	2491	1946
80	Vladimir Saigin	2490	1946
81	Rodrigo Flores Alvarez	2486	1946
82	Romeo García Vera	2486	1946
83	Grigory Goldberg	2481	1946
84	Victor Liublinsky	2477	1946
85	Francisco Benkö	2476	1946
86	René Letelier Martner	2476	1946
87	George Shainswit	2475	1946
88	Jirí Podgorný	2475	1946
89	Meir Rauch	2472	1946
90	Guillermo Puiggrós	2471	1946
91	Mikhail Kamishov	2469	1946
92	Augustin Tikovský	2469	1946
93	Karel Prucha	2464	1946
94	Stojan Puc	2462	1946
95	Jaromír Florián	2460	1946
96	Juan Iliesco	2456	1946
97	Enrique Reinhardt	2454	1946
98	Jacob Levin	2451	1946
99	I Aramanovich	2451	1946
100	Cayetano Rebizzo	2451	1946
1	Mikhail Botvinnik	2852	1947
2	Miguel Najdorf	2772	1947
3	Max Euwe	2762	1947
4	Paul Keres	2749	1947
5	Vassily Smyslov	2731	1947
6	László Szabó	2726	1947
7	David Bronstein	2719	1947
8	Samuel Reshevsky	2718	1947
9	Isaak Boleslavsky	2718	1947
10	Folke Ekström	2714	1947
11	Saviely Tartakower	2698	1947
12	Gideon Ståhlberg	2692	1947
13	Viacheslav Ragozin	2689	1947
14	Alexander Kotov	2687	1947
15	Salo Flohr	2681	1947
16	Vladimir Makogonov	2676	1947
17	Petar Trifunovic	2670	1947
18	Erik Lundin	2657	1947
19	Gösta Stoltz	2656	1947
20	Svetozar Gligoric	2653	1947
21	Vladimir Simagin	2642	1947
22	Reuben Fine	2639	1947
23	Alexander Konstantinopolsky	2637	1947
24	Pablo Michel	2633	1947
25	Vladas Mikenas	2633	1947
26	Isaac Kashdan	2632	1947
27	Arnold Denker	2626	1947
28	Andor Lilienthal	2622	1947
29	Alexander Tolush	2619	1947
30	Jan Foltys	2618	1947
31	Al Horowitz	2617	1947
32	Herman Pilnik	2614	1947
33	Daniel Yanofsky	2614	1947
34	Julio Bolbochán	2613	1947
35	Iosif Rudakovsky	2611	1947
36	Igor Bondarevsky	2607	1947
37	Vladimir Alatortsev	2607	1947
38	Georgy Lisitsin	2604	1947
39	Jacob Levin	2602	1947
40	Carlos Guimard	2600	1947
41	Conel Alexander	2598	1947
42	Vasilje Tomovic	2597	1947
43	Robert Combe	2596	1947
44	Vasily Panov	2592	1947
45	Vitaly Chekhover	2591	1947
46	Jorge Pelikán	2585	1947
47	Peter Romanovsky	2581	1947
48	Ossip Bernstein	2580	1947
49	Cenek Kottnauer	2580	1947
50	Jácobo Bolbochán	2576	1947
51	Tigran Petrosian	2574	1947
52	Herman Steiner	2572	1947
53	Gerald Abrahams	2572	1947
54	Evgeny Zagoriansky	2572	1947
55	Héctor Rossetto	2571	1947
56	Gudbjartur Gudmundsson	2570	1947
57	Ilia Kan	2570	1947
58	Vasja Pirc	2567	1947
59	Carlos Skalicka	2566	1947
60	Miguel Crues Albareda	2565	1947
61	Antonio Medina García	2556	1947
62	Albéric O'Kelly de Galway	2556	1947
63	Anthony Santasiere	2556	1947
64	Moshe Czerniak	2556	1947
65	Milan Vidmar Sr	2554	1947
66	Grigory Ravinsky	2552	1947
67	Aleksandrs Koblencs	2552	1947
68	Yury Averbakh	2552	1947
69	Carlos Maderna	2546	1947
70	Marcos Luckis	2539	1947
71	Sava Vukovic	2539	1947
72	Harry Golombek	2538	1947
73	Imre König	2536	1947
74	Abram Poliak	2535	1947
75	Ludek Pachmann	2535	1947
76	Carlos Hounié Fleurquin	2533	1947
77	George Kramer	2528	1947
78	Jose Maria Cristia	2528	1947
79	Boris Kostic	2528	1947
80	Frantiek Zíta	2527	1947
81	Oleg Neikirkh	2525	1947
82	Anatoly Ufimtsev	2525	1947
83	René Letelier Martner	2524	1947
84	Mariano Castillo Larenas	2524	1947
85	Emil Richter	2524	1947
86	Milan Jr Vidmar	2522	1947
87	Luis Marini	2522	1947
88	Mihajlo Markovic	2522	1947
89	Boris Ratner	2520	1947
90	Albert Pinkus	2520	1947
91	Jaroslav ajtar	2516	1947
92	Nikolaj Kulinski	2513	1947
93	César Corte	2512	1947
94	Renato Sanguinetti	2511	1947
95	Walter Cruz	2511	1947
96	Lev Aronin	2510	1947
97	Borislav Milic	2509	1947
98	M. Llorens	2509	1947
99	A. Budo	2509	1947
100	Cayetano Rebizzo	2507	1947
1	Mikhail Botvinnik	2831	1948
2	Miguel Najdorf	2795	1948
3	Paul Keres	2760	1948
4	Gideon Ståhlberg	2760	1948
5	Isaak Boleslavsky	2739	1948
6	Vassily Smyslov	2732	1948
7	Max Euwe	2730	1948
8	David Bronstein	2721	1948
9	Alexander Kotov	2715	1948
10	Erich Eliskases	2713	1948
11	Samuel Reshevsky	2696	1948
12	Viacheslav Ragozin	2689	1948
13	Petar Trifunovic	2688	1948
14	László Szabó	2675	1948
15	Folke Ekström	2675	1948
16	Svetozar Gligoric	2675	1948
17	Saviely Tartakower	2674	1948
18	Salo Flohr	2668	1948
19	Andor Lilienthal	2665	1948
20	Nikolay Novotelnov	2655	1948
21	Vasily Panov	2649	1948
22	Georgy Lisitsin	2642	1948
23	Alexander Tolush	2641	1948
24	Herman Pilnik	2640	1948
25	Julio Bolbochán	2638	1948
26	Vladimir Simagin	2636	1948
27	Semen Furman	2635	1948
28	Igor Bondarevsky	2632	1948
29	Gösta Stoltz	2632	1948
30	Eero Böök	2628	1948
31	Genrikh Kasparian	2625	1948
32	Ludek Pachmann	2610	1948
33	Daniel Yanofsky	2609	1948
34	Erik Lundin	2609	1948
35	Georg Kieninger	2609	1948
36	Tigran Petrosian	2608	1948
37	Alexander Konstantinopolsky	2607	1948
38	Grigory Ravinsky	2606	1948
39	Vasja Pirc	2604	1948
40	Jan Foltys	2602	1948
41	Carlos Guimard	2601	1948
42	Reuben Fine	2601	1948
43	Al Horowitz	2600	1948
44	Arnold Denker	2598	1948
45	Vladimir Alatortsev	2598	1948
46	Héctor Rossetto	2598	1948
47	Albéric O'Kelly de Galway	2596	1948
48	Mark Taimanov	2596	1948
49	Pablo Michel	2594	1948
50	Vladimir Makogonov	2593	1948
51	Lev Aronin	2591	1948
52	Jácobo Bolbochán	2588	1948
53	Yury Averbakh	2587	1948
54	A Vasiljev	2585	1948
55	Grigory Levenfish	2584	1948
56	Ludwig Rödl	2581	1948
57	Milan Jr Vidmar	2577	1948
58	Vasilje Tomovic	2572	1948
59	Anatoly Ufimtsev	2571	1948
60	Vladimir Saigin	2571	1948
61	Jorge Pelikán	2570	1948
62	Nicolaas Cortlever	2569	1948
63	Stojan Puc	2567	1948
64	Evgeny Zagoriansky	2563	1948
65	Vladimir Zagorovsky	2563	1948
66	Isaac Kashdan	2563	1948
67	Samuil Zhukhovitsky	2562	1948
68	Robert Combe	2560	1948
69	Carlos Maderna	2559	1948
70	Ossip Bernstein	2558	1948
71	Carlos Skalicka	2558	1948
72	Vitaly Chekhover	2556	1948
73	Mikhail Yudovich	2556	1948
74	Miguel Crues Albareda	2554	1948
75	Ratmir Kholmov	2554	1948
76	Cenek Kottnauer	2554	1948
77	Mariano Castillo Larenas	2553	1948
78	Milan Vidmar Sr	2551	1948
79	Ruperto Schroeder	2550	1948
80	German Fridstein	2550	1948
81	Ilia Kan	2547	1948
82	Herman Steiner	2546	1948
83	Frantiek Zíta	2545	1948
84	George Thomas	2545	1948
85	Conel Alexander	2543	1948
86	René Letelier Martner	2541	1948
87	Marcos Luckis	2539	1948
88	Gavriil Veresov	2538	1948
89	Oleg Neikirkh	2537	1948
90	Wolfgang Unzicker	2534	1948
91	Antonio Medina García	2534	1948
92	Mihajlo Markovic	2533	1948
93	Luis Marini	2531	1948
94	Jaroslav ajtar	2529	1948
95	Boris Goldenov	2529	1948
96	Alexey Sokolsky	2529	1948
97	Borislav Milic	2523	1948
98	Aleksandar Boic	2523	1948
99	Victor Liublinsky	2522	1948
100	Carl Ahues	2521	1948
1	Mikhail Botvinnik	2832	1949
2	Miguel Najdorf	2756	1949
3	David Bronstein	2743	1949
4	Samuel Reshevsky	2742	1949
5	Gideon Ståhlberg	2736	1949
6	Paul Keres	2735	1949
7	Vassily Smyslov	2735	1949
8	Erich Eliskases	2733	1949
9	Isaak Boleslavsky	2732	1949
10	Reuben Fine	2732	1949
11	Alexander Kotov	2728	1949
12	László Szabó	2711	1949
13	Semen Furman	2703	1949
14	Petar Trifunovic	2677	1949
15	Salo Flohr	2676	1949
16	Andor Lilienthal	2670	1949
17	Svetozar Gligoric	2664	1949
18	Max Euwe	2657	1949
19	Gedeon Barcza	2651	1949
20	Viacheslav Ragozin	2650	1949
21	Igor Bondarevsky	2647	1949
22	Alexander Tolush	2647	1949
23	Georgy Lisitsin	2644	1949
24	Jan Foltys	2641	1949
25	Jens Enevoldsen	2635	1949
26	Vasja Pirc	2631	1949
27	Eero Böök	2630	1949
28	Pal Benko	2623	1949
29	Herman Pilnik	2623	1949
30	Julio Bolbochán	2621	1949
31	Wolfgang Unzicker	2621	1949
32	Alexander Konstantinopolsky	2620	1949
33	Vladimir Simagin	2617	1949
34	Albéric O'Kelly de Galway	2615	1949
35	Nikolay Novotelnov	2615	1949
36	Vasily Panov	2614	1949
37	Genrikh Kasparian	2610	1949
38	Ludek Pachmann	2609	1949
39	Georgy Ilivitsky	2609	1949
40	Antonio Medina García	2605	1949
41	Georg Kieninger	2602	1949
42	Saviely Tartakower	2600	1949
43	Isaac Kashdan	2599	1949
44	Al Horowitz	2597	1949
45	József Szily	2597	1949
46	Héctor Rossetto	2594	1949
47	Grigory Ravinsky	2593	1949
48	Yury Averbakh	2591	1949
49	Michel	2585	1949
50	Tigran Petrosian	2585	1949
51	Daniel Yanofsky	2584	1949
52	Grigory Levenfish	2584	1949
53	Gösta Stoltz	2583	1949
54	Vladimir Alatortsev	2581	1949
55	Nicolas Rossolimo	2581	1949
56	Ludwig Rödl	2580	1949
57	Ratmir Kholmov	2578	1949
58	Jácobo Bolbochán	2572	1949
59	Carlos Guimard	2568	1949
60	Erik Lundin	2568	1949
61	George Kramer	2566	1949
62	Vladimir Makogonov	2564	1949
63	Carlos Maderna	2563	1949
64	Pablo Michel	2562	1949
65	Lev Aronin	2558	1949
66	A Vasiljev	2555	1949
67	Milan Jr Vidmar	2554	1949
68	Cenek Kottnauer	2553	1949
69	Milan Vidmar Sr	2553	1949
70	Gottlieb Machate	2553	1949
71	Braslav Rabar	2552	1949
72	Carl Pilnick	2550	1949
73	Stojan Puc	2547	1949
74	Nicolaas Cortlever	2546	1949
75	Herman Steiner	2544	1949
76	Mikhail Yudovich	2542	1949
77	Lajos Steiner	2540	1949
78	Arnold Denker	2539	1949
79	Ernö Gereben	2538	1949
80	German Fridstein	2537	1949
81	Marcos Luckis	2537	1949
82	Jaroslav ajtar	2536	1949
83	Vladimir Zagorovsky	2535	1949
84	Anatoly Ufimtsev	2535	1949
85	Samuil Zhukhovitsky	2535	1949
86	Evgeny Zagoriansky	2533	1949
87	Mark Taimanov	2532	1949
88	Walter Niephaus	2530	1949
89	Ilia Kan	2528	1949
90	Imre König	2526	1949
91	Srecko Nedeljkovic	2524	1949
92	Luis Marini	2522	1949
93	Esteban Canal	2521	1949
94	George Thomas	2518	1949
95	Vitaly Chekhover	2518	1949
96	Boris Goldenov	2516	1949
97	Conel Alexander	2516	1949
98	Victor Liublinsky	2516	1949
99	Tjeerd van Scheltinga	2515	1949
100	Jirí Podgorný	2515	1949
1	Mikhail Botvinnik	2806	1950
2	Vassily Smyslov	2760	1950
3	David Bronstein	2754	1950
4	Alexander Kotov	2750	1950
5	Reuben Fine	2739	1950
6	Miguel Najdorf	2738	1950
7	Gideon Ståhlberg	2730	1950
8	Isaak Boleslavsky	2728	1950
9	Paul Keres	2722	1950
10	Samuel Reshevsky	2722	1950
11	Erich Eliskases	2714	1950
12	László Szabó	2711	1950
13	Efim Geller	2701	1950
14	Svetozar Gligoric	2691	1950
15	Semen Furman	2690	1950
16	Yury Averbakh	2668	1950
17	Petar Trifunovic	2665	1950
18	Efim Bogoljubow	2662	1950
19	Andor Lilienthal	2662	1950
20	Vasja Pirc	2661	1950
21	Salo Flohr	2660	1950
22	Julio Bolbochán	2660	1950
23	Nicolas Rossolimo	2654	1950
24	Igor Bondarevsky	2651	1950
25	Mark Taimanov	2647	1950
26	Max Euwe	2646	1950
27	Ludek Pachmann	2639	1950
28	Héctor Rossetto	2638	1950
29	Gedeon Barcza	2638	1950
30	Jan Foltys	2626	1950
31	Viacheslav Ragozin	2622	1950
32	Ratmir Kholmov	2622	1950
33	Eero Böök	2621	1950
34	Vladimir Simagin	2621	1950
35	Pal Benko	2621	1950
36	Wolfgang Unzicker	2619	1950
37	Herman Pilnik	2619	1950
38	Carlos Guimard	2617	1950
39	Antonio Medina García	2609	1950
40	Elmars Zemgalis	2609	1950
41	Lev Aronin	2607	1950
42	Tigran Petrosian	2603	1950
43	Georgy Lisitsin	2598	1950
44	Albéric O'Kelly de Galway	2598	1950
45	Nikolay Novotelnov	2598	1950
46	Georg Kieninger	2597	1950
47	Alexander Tolush	2597	1950
48	Moshe Czerniak	2594	1950
49	Georgy Ilivitsky	2586	1950
50	Vladas Mikenas	2584	1950
51	Vasily Panov	2583	1950
52	Daniel Yanofsky	2583	1950
53	Cenek Kottnauer	2583	1950
54	Alexey Sokolsky	2582	1950
55	Ortvin Sarapu	2576	1950
56	Jácobo Bolbochán	2573	1950
57	Saviely Tartakower	2573	1950
58	Braslav Rabar	2570	1950
59	Gösta Stoltz	2569	1950
60	Anatoly Bannik	2569	1950
61	Grigory Levenfish	2568	1950
62	Nikolay Kopilov	2568	1950
63	Al Horowitz	2564	1950
64	Nicolaas Cortlever	2563	1950
65	Isaac Kashdan	2563	1950
66	Vladimir Alatortsev	2563	1950
67	Lodewijk Prins	2562	1950
68	Stojan Puc	2562	1950
69	Pablo Michel	2561	1950
70	Marcos Luckis	2560	1950
71	Oleg Moiseev	2560	1950
72	József Szily	2557	1950
73	Erik Lundin	2557	1950
74	Lothar Schmid	2556	1950
75	Jaroslav ajtar	2554	1950
76	Alexander Konstantinopolsky	2554	1950
77	Vladimir Makogonov	2553	1950
78	Paul Tröger	2550	1950
79	Evgeny Zagoriansky	2550	1950
80	René Letelier Martner	2549	1950
81	Anatoly Ufimtsev	2548	1950
82	Rodrigo Flores Alvarez	2548	1950
83	Mikhail Yudovich	2548	1950
84	Victor Liublinsky	2547	1950
85	Alexander Chistiakov	2547	1950
86	Genrikh Kasparian	2547	1950
87	Borislav Ivkov	2546	1950
88	Aleksandar Matanovic	2546	1950
89	Tjeerd van Scheltinga	2546	1950
90	Carl Pilnick	2545	1950
91	Lajos Steiner	2544	1950
92	Milan Vidmar Sr	2544	1950
93	Ilia Kan	2542	1950
94	Olaf Barda	2542	1950
95	Emil Richter	2542	1950
96	Archil Ebralidze	2542	1950
97	Vitaly Tarasov	2540	1950
98	Herbert Heinicke	2540	1950
99	Georgy Vladimirovic Bastrikov	2538	1950
100	Vasily Bivshev	2536	1950
1	David Bronstein	2780	1951
2	Samuel Reshevsky	2758	1951
3	Vassily Smyslov	2754	1951
4	Miguel Najdorf	2753	1951
5	Alexander Kotov	2747	1951
6	Paul Keres	2738	1951
7	Isaak Boleslavsky	2737	1951
8	Gideon Ståhlberg	2723	1951
9	László Szabó	2706	1951
10	Svetozar Gligoric	2705	1951
11	Reuben Fine	2704	1951
12	Alexander Tolush	2704	1951
13	Isaak Lipnitsky	2689	1951
14	Wolfgang Unzicker	2677	1951
15	Erich Eliskases	2673	1951
16	Efim Geller	2670	1951
17	Semen Furman	2669	1951
18	Julio Bolbochán	2669	1951
19	Salo Flohr	2664	1951
20	Efim Bogoljubow	2661	1951
21	Gedeon Barcza	2660	1951
22	Max Euwe	2660	1951
23	Nicolas Rossolimo	2659	1951
24	Vasja Pirc	2657	1951
25	Yury Averbakh	2655	1951
26	Petar Trifunovic	2655	1951
27	Andor Lilienthal	2652	1951
28	Herman Pilnik	2652	1951
29	Igor Bondarevsky	2649	1951
30	Mark Taimanov	2646	1951
31	Lev Aronin	2645	1951
32	Ludek Pachmann	2641	1951
33	Héctor Rossetto	2637	1951
34	Albéric O'Kelly de Galway	2636	1951
35	Alexander Konstantinopolsky	2629	1951
36	Carlos Guimard	2627	1951
37	Anatoly Bannik	2626	1951
38	Pal Benko	2624	1951
39	Tigran Petrosian	2621	1951
40	Jan Foltys	2620	1951
41	Eero Böök	2613	1951
42	Ratmir Kholmov	2612	1951
43	Vladimir Simagin	2611	1951
44	Viacheslav Ragozin	2606	1951
45	Aleksandar Matanovic	2605	1951
46	Vladimir Alatortsev	2602	1951
47	Elmars Zemgalis	2601	1951
48	Vladas Mikenas	2599	1951
49	Lothar Schmid	2596	1951
50	Georgy Lisitsin	2592	1951
51	Borislav Ivkov	2591	1951
52	Georgy Ilivitsky	2589	1951
53	Andrija Fuderer	2586	1951
54	Nicolaas Cortlever	2585	1951
55	Braslav Rabar	2583	1951
56	Gerhard Pfeiffer	2580	1951
57	Paul Tröger	2579	1951
58	Georg Kieninger	2578	1951
59	Oleg Moiseev	2578	1951
60	Hans-Hilmar Staudte	2577	1951
61	Milan Vidmar Sr	2576	1951
62	Ortvin Sarapu	2573	1951
63	Milan Jr Vidmar	2572	1951
64	Evgeny Zagoriansky	2571	1951
65	Alexander Chistiakov	2566	1951
66	Grigory Levenfish	2564	1951
67	Georgy Borisenko	2564	1951
68	Cenek Kottnauer	2564	1951
69	Johannes Donner	2561	1951
70	Vitaly Tarasov	2561	1951
71	Saviely Tartakower	2559	1951
72	Stojan Puc	2554	1951
73	Pablo Michel	2554	1951
74	Moshe Czerniak	2553	1951
75	Jonathan Penrose	2552	1951
76	Jácobo Bolbochán	2550	1951
77	Tjeerd van Scheltinga	2548	1951
78	József Szily	2548	1951
79	Ernö Gereben	2547	1951
80	Al Horowitz	2547	1951
81	Herbert Heinicke	2545	1951
82	Rodrigo Flores Alvarez	2545	1951
83	Borislav Milic	2545	1951
84	Emil Richter	2543	1951
85	Nikolay Kopilov	2543	1951
86	Lodewijk Prins	2543	1951
87	Anatoly Ufimtsev	2542	1951
88	Abram Poliak	2542	1951
89	Arthur Bisguier	2541	1951
90	Gösta Stoltz	2538	1951
91	Alexey Sokolsky	2537	1951
92	Nikolay Novotelnov	2536	1951
93	Rudolf Teschner	2535	1951
94	György Szilágyi	2534	1951
95	Olaf Barda	2534	1951
96	Vasily Panov	2533	1951
97	Mikhail Yudovich	2533	1951
98	Jaroslav ajtar	2532	1951
99	Vladimir Makogonov	2532	1951
100	George Kramer	2532	1951
1	Vassily Smyslov	2776	1952
2	David Bronstein	2774	1952
3	Paul Keres	2769	1952
4	Samuel Reshevsky	2758	1952
5	Miguel Najdorf	2750	1952
6	Mikhail Botvinnik	2748	1952
7	Isaak Boleslavsky	2719	1952
8	Efim Geller	2712	1952
9	Alexander Kotov	2711	1952
10	Gideon Ståhlberg	2708	1952
11	László Szabó	2705	1952
12	Svetozar Gligoric	2704	1952
13	Julio Bolbochán	2701	1952
14	Yury Averbakh	2688	1952
15	Erich Eliskases	2688	1952
16	Max Euwe	2685	1952
17	Gedeon Barcza	2682	1952
18	Reuben Fine	2678	1952
19	Wolfgang Unzicker	2677	1952
20	Lev Aronin	2673	1952
21	Ludek Pachmann	2671	1952
22	Tigran Petrosian	2669	1952
23	Alexander Tolush	2669	1952
24	Salo Flohr	2665	1952
25	Vasja Pirc	2663	1952
26	Mark Taimanov	2662	1952
27	Nicolas Rossolimo	2659	1952
28	Larry Evans	2657	1952
29	Isaak Lipnitsky	2656	1952
30	Petar Trifunovic	2650	1952
31	Efim Bogoljubow	2647	1952
32	Ratmir Kholmov	2644	1952
33	Herman Pilnik	2644	1952
34	Anatoly Lutikov	2640	1952
35	Braslav Rabar	2635	1952
36	Aleksandar Matanovic	2625	1952
37	Andor Lilienthal	2624	1952
38	Jan Foltys	2624	1952
39	Zdravko Milev	2623	1952
40	Albéric O'Kelly de Galway	2622	1952
41	Igor Bondarevsky	2621	1952
42	Vladimir Simagin	2618	1952
43	Alexander Chistiakov	2614	1952
44	Andrija Fuderer	2608	1952
45	Carlos Guimard	2607	1952
46	Conel Alexander	2604	1952
47	Ernö Gereben	2604	1952
48	Semen Furman	2603	1952
49	Pal Benko	2603	1952
50	Rudolf Teschner	2602	1952
51	Lodewijk Prins	2601	1952
52	Vladimir Alatortsev	2600	1952
53	Vladas Mikenas	2598	1952
54	Lothar Schmid	2598	1952
55	Gerhard Pfeiffer	2597	1952
56	Mijo Udovcic	2596	1952
57	Nicolaas Cortlever	2595	1952
58	Robert Byrne	2592	1952
59	Anatoly Bannik	2592	1952
60	Oleg Moiseev	2592	1952
61	Héctor Rossetto	2590	1952
62	Alexander Konstantinopolsky	2588	1952
63	Moshe Czerniak	2587	1952
64	Stojan Puc	2584	1952
65	Georgy Borisenko	2584	1952
66	Nikolay Kopilov	2583	1952
67	Eero Böök	2583	1952
68	Elek Bakonyi	2583	1952
69	Borislav Milic	2582	1952
70	Milan Germek	2582	1952
71	Rodrigo Flores Alvarez	2581	1952
72	Rashid Nezhmetdinov	2580	1952
73	Georg Kieninger	2578	1952
74	Nikolay Nikolaevich Gusev	2577	1952
75	Ruben Shocron	2577	1952
